"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,11.3,11.3,88.7,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Aeugst am Albis ist gegen die Umsetzung der OECD-Mindeststeuer: Die Gemeinde hat die Vorlage mit 88,7 Prozent Nein verworfen. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La réforme de l'imposition minimale de l'OCDE est refusée à 88,7 pour cent à Aeugst am Albis. Les habitants d'Aeugst am Albis ont rejeté le texte, contrairement au canton.","Nel comune di Aeugst am Albis l'imposizione minima OCSE/G20 è stata bocciata con il 88,7 percento dei voti. Il comune di Aeugst am Albis respingendo il testo è andato controcorrente rispetto al suo cantone."
3,67.6,67.6,32.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","67,6 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Umsetzung der OECD-Mindeststeuer. Bonstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Les habitants de Bonstetten acceptent avec 67,6 pour cent de oui la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Bonstetten ont approuvé le texte, tout comme le canton.","Con il 67,6 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'imposizione minima OCSE/G20. Il comune di Bonstetten approvando il testo si è espresso come il suo cantone."
5,82.6,82.6,17.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Mit 8'521 Ja zu 1'798 Nein hat sich Hedingen für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 82,6 Prozent. Hedingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","Hedingen dit oui à 82,6 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Hedingen ont approuvé le texte, tout comme le canton.","Sì all’imposizione minima OCSE/G20 nel comune di Hedingen: i cittadini hanno approvato il testo con il 82,6 percento dei voti. Il comune di Hedingen approvando il testo si è espresso come il suo cantone."
7,11.2,11.2,88.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","88,8 der Stimmbürgerinnen und Stimmbürger von Knonau haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Knonau s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 88,8 pour cent des voix. Les habitants de Knonau ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Knonau: i cittadini hanno bocciato il testo con il 88,8 percento dei voti. Il comune di Knonau respingendo il testo è andato controcorrente rispetto al suo cantone."
8,9.2,9.2,90.8,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Mit 8'676 Nein zu 877 Ja haben die Stimmbürgerinnen und Stimmbürger von Maschwanden die Umsetzung der OECD-Mindeststeuer abgelehnt. Das sind 90,8 Prozent. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La population de Maschwanden rejette à 90,8 pour cent des voix la réforme de l'imposition minimale de l'OCDE. Les habitants de Maschwanden ont rejeté le texte, contrairement au canton.","I cittadini di Maschwanden si sono opposti all'imposizione minima OCSE/G20. Il testo è stato respinto con il 90,8 percento dei voti. Il comune di Maschwanden respingendo il testo è andato controcorrente rispetto al suo cantone."
9,57,57,43,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","57 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Umsetzung der OECD-Mindeststeuer ausgesprochen. Mettmenstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage.","A Mettmenstetten, les habitants disent oui à  57 pour cent à la modification de la réforme de l'imposition minimale de l'OCDE . Les habitants de Mettmenstetten ont approuvé le texte, tout comme le canton.","Nel comune di Mettmenstetten l'imposizione minima OCSE/G20 è stata approvata con il 57 percento dei voti. Il comune di Mettmenstetten approvando il testo si è espresso come il suo cantone."
2,32.9,32.9,67.1,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","In Affoltern am Albis ist die Umsetzung der OECD-Mindeststeuer mit 67,1 Prozent gescheitert. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","La réforme de l'imposition minimale de l'OCDE n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte à 67,1 pour cent. Les habitants d'Affoltern am Albis ont rejeté le texte, contrairement au canton.","Con il 67,1 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'imposizione minima OCSE/G20. Il comune di Affoltern am Albis respingendo il testo è andato controcorrente rispetto al suo cantone."
11,29.1,29.1,70.9,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","70,9 der Stimmbürgerinnen und Stimmbürger von Ottenbach haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants d'Ottenbach s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 70,9 pour cent des voix. Les habitants d'Ottenbach ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Ottenbach: i cittadini hanno bocciato il testo con il 70,9 percento dei voti. Il comune di Ottenbach respingendo il testo è andato controcorrente rispetto al suo cantone."
12,32.5,32.5,67.5,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","67,5 der Stimmbürgerinnen und Stimmbürger von Rifferswil haben die Umsetzung der OECD-Mindeststeuer abgelehnt. Rifferswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","Les habitants de Rifferswil s'opposent à la modification de la réforme de l'imposition minimale de l'OCDE par 67,5 pour cent des voix. Les habitants de Rifferswil ont rejeté le texte, contrairement au canton.","No all'imposizione minima OCSE/G20 nel comune di Rifferswil: i cittadini hanno bocciato il testo con il 67,5 percento dei voti. Il comune di Rifferswil respingendo il testo è andato controcorrente rispetto al suo cantone."
13,38.3,38.3,61.7,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","61,7 Prozent der Stimmbürgerinnen und Stimmbürger von Stallikon haben sich gegen die Umsetzung der OECD-Mindeststeuer ausgesprochen. Stallikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat.","A Stallikon, les citoyens rejettent à 61,7 pour cent la réforme de l'imposition minimale de l'OCDE. Les habitants de Stallikon ont rejeté le texte, contrairement au canton.","Nel comune di Stallikon l'imposizione minima OCSE/G20 è stata respinta con il 61,7 percento dei voti. Il comune di Stallikon respingendo il testo è andato controcorrente rispetto al suo cantone."
